Time,Open,High,Low,Last,Change,Volume
10/24/2019 6:00,83.061,83.096,83.038,83.06,0.008,6219
10/24/2019 5:00,83.072,83.106,82.994,83.052,-0.02,5448
10/24/2019 4:00,83.085,83.108,83.049,83.072,-0.013,5844
10/24/2019 3:00,83.126,83.13,83.01,83.085,-0.04,9316
10/24/2019 2:00,83.07,83.207,83.064,83.125,0.056,12182
10/24/2019 1:00,83.004,83.07,83.003,83.069,0.065,5988
10/24/2019 0:00,83.014,83.046,83.001,83.004,-0.011,4507
10/23/2019 23:00,83.039,83.056,83.008,83.015,-0.024,3276
10/23/2019 22:00,83.043,83.056,83.018,83.039,-0.005,3552
10/23/2019 21:00,83.079,83.091,83.031,83.044,-0.035,4994
10/23/2019 20:00,83.072,83.08,83.032,83.079,0.008,6041
10/23/2019 19:00,83.079,83.08,83.028,83.071,-0.008,5254
10/23/2019 18:00,83.093,83.109,83.065,83.079,-0.014,3978
10/23/2019 17:00,83.106,83.147,83.079,83.093,-0.015,4386
10/23/2019 16:00,83.143,83.143,83.088,83.108,-0.036,4711
10/23/2019 15:00,83.119,83.166,83.095,83.144,0.026,3010
10/23/2019 14:00,83.083,83.127,83.078,83.118,0.036,5000
10/23/2019 13:00,83.111,83.12,83.05,83.082,-0.029,5224
10/23/2019 12:00,83.077,83.121,83.053,83.111,0.035,6102
10/23/2019 11:00,82.992,83.079,82.991,83.076,0.084,6192
10/23/2019 10:00,82.927,83.031,82.921,82.992,0.065,8290
10/23/2019 9:00,82.881,82.932,82.825,82.927,0.047,10860
10/23/2019 8:00,82.909,82.918,82.845,82.88,-0.029,9668
10/23/2019 7:00,82.816,82.924,82.8,82.909,0.093,7196
10/23/2019 6:00,82.818,82.835,82.762,82.816,0.004,6710
10/23/2019 5:00,82.741,82.858,82.74,82.812,0.071,8143
10/23/2019 4:00,82.743,82.764,82.717,82.741,-0.001,5908
10/23/2019 3:00,82.767,82.809,82.722,82.742,-0.025,7090
10/23/2019 2:00,82.684,82.772,82.662,82.767,0.083,9577
10/23/2019 1:00,82.718,82.777,82.676,82.684,-0.033,7971
10/23/2019 0:00,82.682,82.749,82.659,82.717,0.036,5838
10/22/2019 23:00,82.626,82.69,82.603,82.681,0.055,4653
10/22/2019 22:00,82.621,82.662,82.61,82.626,0.005,4975
10/22/2019 21:00,82.663,82.679,82.61,82.621,-0.041,5503
10/22/2019 20:00,82.754,82.769,82.639,82.662,-0.092,6471
10/22/2019 19:00,82.84,82.841,82.64,82.754,-0.087,9406
10/22/2019 18:00,82.865,82.87,82.824,82.841,-0.025,9389
10/22/2019 17:00,82.819,82.866,82.804,82.866,0.047,4680
10/22/2019 16:00,82.839,82.844,82.803,82.819,-0.022,3087
10/22/2019 15:00,82.808,82.873,82.779,82.841,0.034,3707
10/22/2019 14:00,82.796,82.875,82.76,82.807,0.01,8937
10/22/2019 13:00,82.942,82.985,82.789,82.797,-0.145,15275
10/22/2019 12:00,82.986,82.987,82.918,82.942,-0.044,6457
10/22/2019 11:00,82.952,83.012,82.946,82.986,0.033,6683
10/22/2019 10:00,82.928,82.981,82.899,82.953,0.025,9490
10/22/2019 9:00,82.751,82.953,82.714,82.928,0.177,11877
10/22/2019 8:00,82.748,82.843,82.732,82.751,0.003,8623
